
Possible line matches for the gamma energy 107 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
179.741000	Does Not	Exist	1899.300000	0  1		1719.559000	2  -1
180.781000	Does Not	Exist	1900.340000	2  1		1719.559000	2  -1
179.844000	Does Not	Exist	1911.544000	6  1		1731.700000	7  -1
180.930000	Does Not	Exist	2080.230000	4  1		1899.300000	0  1
181.491000	Does Not	Exist	2080.791000	3  -1		1899.300000	0  1
179.890000	Does Not	Exist	2080.230000	4  1		1900.340000	2  1
180.451000	Does Not	Exist	2080.791000	3  -1		1900.340000	2  1
180.820000	  0.301300	  0.340000	2254.120000	8  1		2073.300000	7  1
179.760000	Does Not	Exist	2293.500000	3  1		2113.740000	2  1
180.620000	Does Not	Exist	2403.100000	4  1		2222.480000	2  1
181.080000	Does Not	Exist	2410.850000	4  1		2229.770000	2  1
182.120000	Does Not	Exist	2482.020000	2  1		2299.900000	0  1
182.000000	Does Not	Exist	2568.000000	7  -1		2386.000000	4  1
182.400000	Does Not	Exist	2585.500000	0  1		2403.100000	4  1
180.310000	  0.484300	  0.350000	2955.690000	12  -1		2775.380000	11  -1

Possible line matches for the gamma energy 188 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
188.390000	Does Not	Exist	1606.550000	6  1		1418.160000	2  1
188.254000	  0.008439	  0.072000	1719.559000	2  -1		1531.305000	2  1
188.621000	Does Not	Exist	1964.050000	2  1		1775.429000	2  1
188.921000	Does Not	Exist	2137.480000	7  -1		1948.559000	5  -1
188.370000	Does Not	Exist	2410.850000	4  1		2222.480000	2  1
188.230000	Does Not	Exist	2418.000000	6  -1		2229.770000	2  1
188.520000	Does Not	Exist	2482.020000	2  1		2293.500000	3  1
187.400000	Does Not	Exist	2686.700000	2  0		2499.300000	2  1
188.350000	Does Not	Exist	3122.550000	1  1		2934.200000	1  1

Possible line matches for the gamma energy 192 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
191.297000	Does Not	Exist	1432.588000	5  1		1241.291000	1  -1
193.085000	Does Not	Exist	1810.210000	7  1		1617.125000	3  -1
190.796000	Does Not	Exist	1836.610000	0  1		1645.814000	4  1
191.985000	Does Not	Exist	1911.544000	6  1		1719.559000	2  -1
192.099000	Does Not	Exist	1948.559000	5  -1		1756.460000	8  1
192.040000	Does Not	Exist	2305.780000	3  1		2113.740000	2  1
191.600000	Does Not	Exist	2485.100000	0  1		2293.500000	3  1

Possible line matches for the gamma energy 202 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
202.390000	Does Not	Exist	1606.550000	6  1		1404.160000	5  -1
202.699000	  0.000329	  0.210000	1617.125000	3  -1		1414.426000	1  -1
201.455000	Does Not	Exist	1775.429000	2  1		1573.974000	0  1
202.883000	Does Not	Exist	1973.070000	2  1		1770.187000	5  1
203.190000	Does Not	Exist	2039.800000	0  1		1836.610000	0  1
202.196000	Does Not	Exist	2113.740000	2  1		1911.544000	6  1
202.960000	Does Not	Exist	2176.030000	1  1		1973.070000	2  1
202.810000	Does Not	Exist	2386.000000	4  1		2183.190000	8  -1
201.990000	Does Not	Exist	2453.290000	9  1		2251.300000	9  -1
201.990000	Does Not	Exist	2511.520000	2  0		2309.530000	2  1
201.530000	Does Not	Exist	2619.530000	10  -1		2418.000000	6  -1
201.600000	Does Not	Exist	2686.700000	2  0		2485.100000	0  1
203.040000	  0.000000	  0.240000	3158.730000	13  -1		2955.690000	12  -1
201.330000	Does Not	Exist	3629.430000	15  -1		3428.100000	14  -1

Possible line matches for the gamma energy 210 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
209.035000	Does Not	Exist	1606.550000	6  1		1397.515000	2  -1
210.267000	Does Not	Exist	1770.187000	5  1		1559.920000	4  -1
208.875000	Does Not	Exist	1826.000000	4  -1		1617.125000	3  -1
210.154000	Does Not	Exist	1911.544000	6  1		1701.390000	4  1
209.220000	Does Not	Exist	2249.020000	3  0		2039.800000	0  1
210.800000	Does Not	Exist	2251.300000	9  -1		2040.500000	9  -1
209.970000	Does Not	Exist	2386.000000	4  1		2176.030000	1  1
209.670000	Does Not	Exist	2403.800000	7  1		2194.130000	10  1
210.720000	Does Not	Exist	2459.740000	2  1		2249.020000	3  0

Possible line matches for the gamma energy 218 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
218.350000	Does Not	Exist	1716.050000	2  1		1497.700000	0  1
219.450000	Does Not	Exist	1826.000000	4  -1		1606.550000	6  1
219.485000	Does Not	Exist	1836.610000	0  1		1617.125000	3  -1
216.859000	Does Not	Exist	1948.559000	5  -1		1731.700000	7  -1
219.109000	Does Not	Exist	2299.900000	0  1		2080.791000	3  -1
217.231000	Does Not	Exist	2403.100000	4  1		2185.869000	4  -1
217.931000	Does Not	Exist	2403.800000	7  1		2185.869000	4  -1
219.180000	Does Not	Exist	2406.190000	2  1		2187.010000	1  1
218.020000	Does Not	Exist	2511.520000	2  0		2293.500000	3  1
219.480000	Does Not	Exist	2637.480000	2  -1		2418.000000	6  -1
217.520000	Does Not	Exist	2855.000000	0  1		2637.480000	2  -1
217.350000	Does Not	Exist	2872.390000	2  1		2655.040000	2  1

Possible line matches for the gamma energy 274 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
274.494000	Does Not	Exist	1911.544000	6  1		1637.050000	10  1
274.459000	Does Not	Exist	1948.559000	5  -1		1674.100000	7  -1
274.325000	Does Not	Exist	2185.869000	4  -1		1911.544000	6  1
273.921000	Does Not	Exist	2222.480000	2  1		1948.559000	5  -1
273.370000	Does Not	Exist	2410.850000	4  1		2137.480000	7  -1
273.871000	Does Not	Exist	2459.740000	2  1		2185.869000	4  -1
272.730000	Does Not	Exist	2459.740000	2  1		2187.010000	1  1
274.500000	Does Not	Exist	2568.000000	7  -1		2293.500000	3  1
275.500000	Does Not	Exist	2569.000000	2  0		2293.500000	3  1
274.500000	Does Not	Exist	2860.000000	1  1		2585.500000	0  1

Possible line matches for the gamma energy 282 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
283.230000	  0.053260	  0.072200	1701.390000	4  1		1418.160000	2  1
283.462000	Does Not	Exist	1716.050000	2  1		1432.588000	5  1
282.175000	Does Not	Exist	1899.300000	0  1		1617.125000	3  -1
283.215000	Does Not	Exist	1900.340000	2  1		1617.125000	3  -1
281.997000	Does Not	Exist	1942.900000	0  1		1660.903000	3  1
283.270000	Does Not	Exist	2080.230000	4  1		1796.960000	3  -1
282.586000	Does Not	Exist	2194.130000	10  1		1911.544000	6  1
281.211000	Does Not	Exist	2229.770000	2  1		1948.559000	5  -1
280.520000	Does Not	Exist	2418.000000	6  -1		2137.480000	7  -1
281.140000	Does Not	Exist	2475.270000	9  -1		2194.130000	10  1
281.750000	Does Not	Exist	2511.520000	2  0		2229.770000	2  1
280.510000	Does Not	Exist	2686.700000	2  0		2406.190000	2  1
281.300000	Does Not	Exist	2850.300000	2  1		2569.000000	2  0

Possible line matches for the gamma energy 285 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
284.040000	Does Not	Exist	2040.500000	9  -1		1756.460000	8  1
284.130000	Does Not	Exist	2073.300000	7  1		1789.170000	4  1
283.831000	Does Not	Exist	2080.791000	3  -1		1796.960000	3  -1
285.529000	Does Not	Exist	2185.869000	4  -1		1900.340000	2  1
284.970000	Does Not	Exist	2249.020000	3  0		1964.050000	2  1
283.710000	Does Not	Exist	2459.740000	2  1		2176.030000	1  1
285.600000	Does Not	Exist	2585.500000	0  1		2299.900000	0  1
283.600000	Does Not	Exist	2686.700000	2  0		2403.100000	4  1
284.360000	Does Not	Exist	2744.100000	0  1		2459.740000	2  1
286.000000	Does Not	Exist	2855.000000	0  1		2569.000000	2  0
283.600000	Does Not	Exist	3363.600000	2  1		3080.000000	1  1

Possible line matches for the gamma energy 303 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
303.875000	Does Not	Exist	1701.390000	4  1		1397.515000	2  -1
301.624000	Does Not	Exist	1716.050000	2  1		1414.426000	1  -1
302.745000	Does Not	Exist	1948.559000	5  -1		1645.814000	4  1
303.147000	Does Not	Exist	1964.050000	2  1		1660.903000	3  1
303.113000	  0.287800	  0.072000	2073.300000	7  1		1770.187000	5  1
303.220000	  0.000000	  0.000000	2215.300000	-1  0		1912.080000	-1  0
302.741000	Does Not	Exist	2251.300000	9  -1		1948.559000	5  -1
304.060000	Does Not	Exist	2277.130000	3  0		1973.070000	2  1
302.480000	Does Not	Exist	2416.220000	4  1		2113.740000	2  1
304.260000	Does Not	Exist	2418.000000	6  -1		2113.740000	2  1
303.220000	  0.000000	  0.000000	2440.700000	-1  0		2137.480000	7  -1
303.390000	Does Not	Exist	2872.390000	2  1		2569.000000	2  0

Possible line matches for the gamma energy 306 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
305.308000	Does Not	Exist	1352.900000	0  1		1047.592000	4  1
304.786000	  0.000000	  0.071000	1432.588000	5  1		1127.802000	3  1
305.133000	  0.000720	  0.074000	1719.559000	2  -1		1414.426000	1  -1
305.305000	Does Not	Exist	1836.610000	0  1		1531.305000	2  1
304.994000	  0.045020	  0.057400	1911.544000	6  1		1606.550000	6  1
304.801000	Does Not	Exist	2080.230000	4  1		1775.429000	2  1
305.362000	Does Not	Exist	2080.791000	3  -1		1775.429000	2  1
306.120000	Does Not	Exist	2249.020000	3  0		1942.900000	0  1
305.561000	Does Not	Exist	2254.120000	8  1		1948.559000	5  -1
305.770000	Does Not	Exist	2386.000000	4  1		2080.230000	4  1
305.209000	Does Not	Exist	2386.000000	4  1		2080.791000	3  -1
305.990000	Does Not	Exist	2482.020000	2  1		2176.030000	1  1
306.610000	Does Not	Exist	2616.080000	10  -1		2309.470000	8  -1

Possible line matches for the gamma energy 333 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
332.683000	  0.209500	  0.012320	1573.974000	0  1		1241.291000	1  -1
334.230000	Does Not	Exist	2277.130000	3  0		1942.900000	0  1
332.710000	Does Not	Exist	2305.780000	3  1		1973.070000	2  1
331.700000	Does Not	Exist	2637.480000	2  -1		2305.780000	3  1
333.250000	Does Not	Exist	2744.100000	0  1		2410.850000	4  1
333.890000	Does Not	Exist	2955.690000	12  -1		2621.800000	12  1
