Possible line matches for the gamma energy 258.158 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
412.600000	Does Not	Exist	2704.000000	-1  0		2291.400000	-1  0
412.000000	Does Not	Exist	2704.000000	-1  0		2292.000000	-1  0
411.600000	Does Not	Exist	2704.000000	-1  0		2292.400000	5  1
411.900000	Does Not	Exist	2726.000000	-1  0		2314.100000	-1  0
412.400000	Does Not	Exist	2730.600000	-1  0		2318.200000	3  -1
411.250000	Does Not	Exist	2742.200000	-1  0		2330.950000	11  -1
412.100000	Does Not	Exist	2750.800000	-1  0		2338.700000	-1  0
411.000000	Does Not	Exist	2785.000000	-1  0		2374.000000	6  1
411.600000	Does Not	Exist	2815.000000	1  0		2403.400000	-1  0
411.300000	Does Not	Exist	2848.400000	-1  0		2437.100000	-1  0
411.700000	Does Not	Exist	2900.000000	1  1		2488.300000	-1  0
411.000000	Does Not	Exist	2940.400000	-1  0		2529.400000	-1  0
412.600000	Does Not	Exist	2950.000000	-1  0		2537.400000	1  0
412.640000	Does Not	Exist	2963.940000	13  -1		2551.300000	-1  0
410.980000	Does Not	Exist	3012.300000	-1  0		2601.320000	11  1
412.000000	Does Not	Exist	3029.300000	-1  0		2617.300000	-1  0
411.220000	Does Not	Exist	3052.820000	13  1		2641.600000	-1  0
Possible line matches for the gamma energy 630.304 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
630.265000	Does Not	Exist	1518.426000	5  -1		888.161000	2  1
630.349000	Does Not	Exist	1691.340000	2  -1		1060.991000	4  1
630.397000	  0.102800	  0.003110	1840.486000	3  1		1210.089000	3  -1
630.327000	Does Not	Exist	2120.717000	4  -1		1490.390000	7  1
630.255000	Does Not	Exist	2148.681000	2  0		1518.426000	5  -1
630.005000	Does Not	Exist	2299.090000	-1  0		1669.085000	4  -1
630.750000	Does Not	Exist	2314.100000	-1  0		1683.350000	7  -1
630.101000	Does Not	Exist	2369.100000	-1  0		1738.999000	3  -1
629.884000	Does Not	Exist	2375.600000	-1  0		1745.716000	1  1
629.519000	Does Not	Exist	2381.400000	-1  0		1751.881000	6  1
630.900000	Does Not	Exist	2398.270000	10  1		1767.370000	6  1
630.420000	Does Not	Exist	2413.100000	-1  0		1782.680000	2  1
629.540000	Does Not	Exist	2437.100000	-1  0		1807.560000	8  -1
630.247000	Does Not	Exist	2457.000000	-1  0		1826.753000	4  -1
630.529000	Does Not	Exist	2482.340000	12  -1		1851.811000	4  -1
630.570000	Does Not	Exist	2494.400000	0  1		1863.830000	2  -1
630.730000	Does Not	Exist	2534.860000	12  1		1904.130000	-1  0
629.750000	Does Not	Exist	2569.400000	1  1		1939.650000	9  -1
631.270000	Does Not	Exist	2630.600000	-1  0		1999.330000	2  1
629.900000	Does Not	Exist	2630.600000	-1  0		2000.700000	-1  0
629.680000	Does Not	Exist	2670.650000	12  -1		2040.970000	8  1
631.210000	Does Not	Exist	2697.000000	-1  0		2065.790000	-1  0
629.900000	  0.990500	  0.009600	2708.900000	-1  0		2079.000000	6  1
630.710000	Does Not	Exist	2718.200000	-1  0		2087.490000	10  1
629.940000	Does Not	Exist	2730.600000	-1  0		2100.660000	9  -1
629.600000	Does Not	Exist	2742.200000	-1  0		2112.600000	-1  0
630.083000	Does Not	Exist	2750.800000	-1  0		2120.717000	4  -1
629.788000	Does Not	Exist	2755.000000	8  1		2125.212000	0  1
630.200000	Does Not	Exist	2768.700000	-1  0		2138.500000	-1  0
629.309000	Does Not	Exist	2777.990000	13  -1		2148.681000	2  0
631.119000	Does Not	Exist	2779.800000	-1  0		2148.681000	2  0
631.000000	Does Not	Exist	2812.000000	-1  0		2181.000000	4  1
629.780000	Does Not	Exist	2815.000000	1  0		2185.220000	-1  0
630.750000	Does Not	Exist	2861.500000	-1  0		2230.750000	-1  0
630.500000	Does Not	Exist	2900.000000	1  1		2269.500000	-1  0
630.310000	Does Not	Exist	2929.400000	1  -1		2299.090000	-1  0
630.910000	Does Not	Exist	2930.000000	9  1		2299.090000	-1  0
630.900000	Does Not	Exist	3012.300000	-1  0		2381.400000	-1  0
631.030000	Does Not	Exist	3029.300000	-1  0		2398.270000	10  1
630.800000	Does Not	Exist	3085.800000	-1  0		2455.000000	-1  0
Possible line matches for the gamma energy 768.78 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
768.628000	Does Not	Exist	1951.391000	-1  0		1182.763000	5  1
768.784000	Does Not	Exist	2065.790000	-1  0		1297.006000	4  -1
768.963000	Does Not	Exist	2299.090000	-1  0		1530.127000	6  -1
767.788000	Does Not	Exist	2338.700000	-1  0		1570.912000	3  -1
768.777000	Does Not	Exist	2344.400000	-1  0		1575.623000	6  -1
768.985000	Does Not	Exist	2403.400000	-1  0		1634.415000	5  1
768.015000	Does Not	Exist	2437.100000	-1  0		1669.085000	4  -1
768.450000	Does Not	Exist	2451.800000	-1  0		1683.350000	7  -1
767.884000	Does Not	Exist	2513.600000	-1  0		1745.716000	1  1
768.519000	Does Not	Exist	2520.400000	1  -1		1751.881000	6  1
769.280000	Does Not	Exist	2524.100000	-1  0		1754.820000	7  -1
768.252000	Does Not	Exist	2534.860000	12  1		1766.608000	3  -1
768.620000	Does Not	Exist	2551.300000	-1  0		1782.680000	2  1
768.070000	Does Not	Exist	2601.320000	11  1		1833.250000	5  -1
769.270000	Does Not	Exist	2614.800000	-1  0		1845.530000	8  -1
767.923000	Does Not	Exist	2630.600000	-1  0		1862.677000	4  -1
768.950000	Does Not	Exist	2647.000000	-1  0		1878.050000	9  1
769.550000	Does Not	Exist	2670.650000	12  -1		1901.100000	12  1
768.910000	Does Not	Exist	2682.590000	13  -1		1913.680000	5  -1
769.250000	Does Not	Exist	2708.900000	-1  0		1939.650000	9  -1
768.100000	Does Not	Exist	2742.200000	-1  0		1974.100000	4  -1
768.340000	Does Not	Exist	2750.800000	-1  0		1982.460000	2  1
769.120000	Does Not	Exist	2755.000000	8  1		1985.880000	8  1
769.370000	Does Not	Exist	2768.700000	-1  0		1999.330000	2  1
768.000000	Does Not	Exist	2768.700000	-1  0		2000.700000	-1  0
768.194000	Does Not	Exist	2777.990000	13  -1		2009.796000	-1  0
768.000000	Does Not	Exist	2815.000000	1  0		2047.000000	-1  0
768.000000	Does Not	Exist	2847.000000	7  1		2079.000000	6  1
769.400000	Does Not	Exist	2848.400000	-1  0		2079.000000	6  1
768.370000	Does Not	Exist	2848.400000	-1  0		2080.030000	-1  0
769.300000	Does Not	Exist	2880.000000	-1  0		2110.700000	10  -1
769.000000	Does Not	Exist	2950.000000	-1  0		2181.000000	4  1
768.800000	Does Not	Exist	2971.800000	-1  0		2203.000000	8  1
769.200000	Does Not	Exist	3061.200000	1  1		2292.000000	-1  0
768.800000	Does Not	Exist	3061.200000	1  1		2292.400000	5  1
Possible line matches for the gamma energy 895.042 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
894.519000	  0.170100	  0.005400	1782.680000	2  1		888.161000	2  1
894.420000	Does Not	Exist	2269.500000	-1  0		1375.080000	10  1
895.332000	Does Not	Exist	2348.800000	-1  0		1453.468000	2  1
