
Possible line matches for the gamma energy 121.213 keV
Possible line matches for the gamma energy 333.856 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
332.683000	  0.209500	  0.012320	1573.974000	0  1		1241.291000	1  -1
331.434000	  0.080560	  0.054000	1948.559000	5  -1		1617.125000	3  -1
336.160000	  0.193700	  0.052000	2955.690000	12  -1		2619.530000	10  -1

Possible line matches for the gamma energy 338.497 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
337.599000	  0.064760	  0.120000	1770.187000	5  1		1432.588000	5  1
339.610000	  0.135600	  0.050000	2533.740000	-1  0		2194.130000	10  1
339.610000	  0.135600	  0.050000	2955.690000	12  -1		2616.080000	10  -1
336.160000	  0.193700	  0.052000	2955.690000	12  -1		2619.530000	10  -1

Possible line matches for the gamma energy 347.093 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
346.662000	  0.962600	  0.038900	717.662000	6  1		371.000000	4  1
349.214000	  0.012460	  0.038100	1531.305000	2  1		1182.091000	0  1

Possible line matches for the gamma energy 368 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
366.599000	  0.172200	  0.033000	1182.091000	0  1		815.492000	2  1
370.568000	  0.033590	  0.032000	1418.160000	2  1		1047.592000	4  1
365.484000	  0.000637	  0.045000	1617.125000	3  -1		1251.641000	3  -1

Possible line matches for the gamma energy 365 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
366.599000	  0.172200	  0.033000	1182.091000	0  1		815.492000	2  1
365.484000	  0.000637	  0.045000	1617.125000	3  -1		1251.641000	3  -1
364.180000	  0.010210	  0.040000	2080.230000	4  1		1716.050000	2  1

Possible line matches for the gamma energy 380.506 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
382.036000	  0.054870	  0.040000	1645.814000	4  1		1263.778000	4  1
382.534000	  0.003214	  0.029200	1796.960000	3  -1		1414.426000	1  -1
378.800000	  0.005786	  0.008980	1796.960000	3  -1		1418.160000	2  1
377.622000	  0.172700	  0.036000	1810.210000	7  1		1432.588000	5  1
379.990000	  0.539400	  0.035000	2453.290000	9  1		2073.300000	7  1

Possible line matches for the gamma energy 391.327 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
391.883000	  0.000000	  0.000000	1573.974000	0  1		1182.091000	0  1
390.582000	  0.470600	  0.033000	1756.460000	8  1		1365.878000	6  1

Possible line matches for the gamma energy 412.279 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
412.756000	  1.000000	  0.000000	2324.300000	-1  0		1911.544000	6  1

Possible line matches for the gamma energy 427.348 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
426.778000	  0.979000	  0.021400	1144.440000	8  1		717.662000	6  1
425.799000	  0.003355	  0.006810	1241.291000	1  -1		815.492000	2  1
427.670000	  0.843500	  0.025000	2621.800000	12  1		2194.130000	10  1

Possible line matches for the gamma energy 438.295 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
436.149000	  0.008070	  0.006440	1251.641000	3  -1		815.492000	2  1
437.670000	  0.849700	  0.023000	2194.130000	10  1		1756.460000	8  1
436.340000	  0.373400	  0.024000	2619.530000	10  -1		2183.190000	8  -1
437.110000	  0.000000	  0.028000	2621.800000	12  1		2184.690000	12  1

Possible line matches for the gamma energy 444.949 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
444.492000	  0.185800	  0.019100	815.492000	2  1		371.000000	4  1
444.400000	  1.000000	  0.000000	2561.300000	-1  0		2116.900000	-1  0

Possible line matches for the gamma energy 462.762 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
464.409000	  0.055010	  0.006500	1716.050000	2  1		1251.641000	3  -1
463.666000	  0.015060	  0.024000	2080.791000	3  -1		1617.125000	3  -1

Possible line matches for the gamma energy 468.811 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
467.918000	  0.002201	  0.023000	1719.559000	2  -1		1251.641000	3  -1
470.790000	  0.096420	  0.029500	2590.340000	-1  0		2119.550000	-1  0
470.430000	  0.000000	  0.000000	2779.900000	-1  0		2309.470000	8  -1

Possible line matches for the gamma energy 479.811 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
478.268000	  0.007917	  0.015700	1719.559000	2  -1		1241.291000	1  -1
478.956000	  0.120000	  0.022000	1911.544000	6  1		1432.588000	5  1

Possible line matches for the gamma energy 493.614 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
492.610000	  0.985700	  0.014510	1637.050000	10  1		1144.440000	8  1

Possible line matches for the gamma energy 511.547 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
512.328000	  0.034420	  0.004480	1559.920000	4  -1		1047.592000	4  1

Possible line matches for the gamma energy 518.497 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
518.012000	  0.289600	  0.012900	1645.814000	4  1		1127.802000	3  1
520.871000	  0.029400	  0.018000	2080.791000	3  -1		1559.920000	4  -1

Possible line matches for the gamma energy 530.821 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
533.101000	  0.022150	  0.017000	1660.903000	3  1		1127.802000	3  1
533.182000	  0.123400	  0.004700	1796.960000	3  -1		1263.778000	4  1

Possible line matches for the gamma energy 533.98 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
535.048000	  0.029480	  0.016000	1531.305000	2  1		996.257000	2  1
533.101000	  0.022150	  0.017000	1660.903000	3  1		1127.802000	3  1
533.182000	  0.123400	  0.004700	1796.960000	3  -1		1263.778000	4  1

Possible line matches for the gamma energy 537.595 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
535.048000	  0.029480	  0.016000	1531.305000	2  1		996.257000	2  1
540.055000	  0.559600	  0.003970	2185.869000	4  -1		1645.814000	4  1

Possible line matches for the gamma energy 540.788 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
540.055000	  0.559600	  0.003970	2185.869000	4  -1		1645.814000	4  1

Possible line matches for the gamma energy 557.995 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
557.596000	  0.989600	  0.010530	680.667000	0  1		123.071000	2  1
560.624000	  0.002633	  0.003650	1241.291000	1  -1		680.667000	0  1
557.080000	  0.076470	  0.053000	2194.130000	10  1		1637.050000	10  1

Possible line matches for the gamma energy 569.586 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
569.533000	  0.008641	  0.003530	1617.125000	3  -1		1047.592000	4  1

Possible line matches for the gamma energy 584.294 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
582.023000	  0.024800	  0.003370	1397.515000	2  -1		815.492000	2  1

Possible line matches for the gamma energy 611.967 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
613.311000	  0.111800	  0.012000	1660.903000	3  1		1047.592000	4  1
612.020000	  0.155300	  0.061000	1756.460000	8  1		1144.440000	8  1

Possible line matches for the gamma energy 642.867 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
642.385000	  0.185000	  0.010000	1770.187000	5  1		1127.802000	3  1

Possible line matches for the gamma energy 649.277 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
648.216000	  0.560100	  0.045000	1365.878000	6  1		717.662000	6  1
649.557000	  0.508000	  0.007220	1645.814000	4  1		996.257000	2  1
647.627000	  0.012780	  0.010000	1775.429000	2  1		1127.802000	3  1
647.766000	  0.163900	  0.008100	1911.544000	6  1		1263.778000	4  1

Possible line matches for the gamma energy 653.863 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
653.798000	  0.313300	  0.010000	1701.390000	4  1		1047.592000	4  1
653.870000	  0.019200	  0.000000	2989.890000	-1  0		2336.020000	3  -1

Possible line matches for the gamma energy 666.277 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
664.646000	  0.031360	  0.010000	1660.903000	3  1		996.257000	2  1
669.158000	  0.241100	  0.002510	1796.960000	3  -1		1127.802000	3  1
665.770000	  0.150700	  0.010000	1810.210000	7  1		1144.440000	8  1

