Possible line matches for the gamma energy 258.158 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
630.750000	Does Not	Exist	2861.500000	1  0		2230.750000	1  0
630.500000	Does Not	Exist	2900.000000	1  1		2269.500000	1  0
630.310000	Does Not	Exist	2929.400000	1  -1		2299.090000	1  0
630.800000	Does Not	Exist	3085.800000	1  0		2455.000000	1  0
Possible line matches for the gamma energy 768.78 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
768.628000	Does Not	Exist	1951.391000	1  0		1182.763000	5  1
768.784000	Does Not	Exist	2065.790000	1  0		1297.006000	4  -1
768.963000	Does Not	Exist	2299.090000	1  0		1530.127000	6  -1
768.777000	Does Not	Exist	2344.400000	1  0		1575.623000	6  -1
768.985000	Does Not	Exist	2403.400000	1  0		1634.415000	5  1
768.450000	Does Not	Exist	2451.800000	1  0		1683.350000	7  -1
768.519000	Does Not	Exist	2520.400000	1  -1		1751.881000	6  1
769.280000	Does Not	Exist	2524.100000	1  0		1754.820000	7  -1
768.620000	Does Not	Exist	2551.300000	1  0		1782.680000	2  1
769.270000	Does Not	Exist	2614.800000	1  0		1845.530000	8  -1
768.950000	Does Not	Exist	2647.000000	1  0		1878.050000	9  1
768.910000	Does Not	Exist	2682.590000	3  -1		1913.680000	5  -1
769.250000	Does Not	Exist	2708.900000	1  0		1939.650000	9  -1
768.340000	Does Not	Exist	2750.800000	1  0		1982.460000	2  1
769.120000	Does Not	Exist	2755.000000	8  1		1985.880000	8  1
768.370000	Does Not	Exist	2848.400000	1  0		2080.030000	1  0
769.000000	Does Not	Exist	2950.000000	1  0		2181.000000	4  1
768.800000	Does Not	Exist	2971.800000	1  0		2203.000000	8  1
769.200000	Does Not	Exist	3061.200000	1  1		2292.000000	1  0
768.800000	Does Not	Exist	3061.200000	1  1		2292.400000	5  1
Possible line matches for the gamma energy 895.042 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
895.332000	Does Not	Exist	2348.800000	1  0		1453.468000	2  1
894.674000	Does Not	Exist	2413.100000	1  0		1518.426000	5  -1
895.407000	Does Not	Exist	2469.700000	1  0		1574.293000	4  1
894.985000	Does Not	Exist	2529.400000	1  0		1634.415000	5  1
894.695000	Does Not	Exist	2565.200000	1  0		1670.505000	8  1
894.682000	Does Not	Exist	2623.000000	6  1		1728.318000	2  1
895.119000	Does Not	Exist	2647.000000	1  0		1751.881000	6  1
Possible line matches for the gamma energy 912.208 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
911.970000	Does Not	Exist	1833.250000	5  -1		921.280000	8  1
912.599000	Does Not	Exist	2398.270000	0  1		1485.671000	5  -1
912.677000	Does Not	Exist	2488.300000	1  0		1575.623000	6  -1
912.330000	Does Not	Exist	2800.000000	1  0		1887.670000	7  1
912.519000	Does Not	Exist	3061.200000	1  1		2148.681000	2  0
Possible line matches for the gamma energy 1007.02 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1007.259000	  0.072500	  0.004100	1895.420000	2  1		888.161000	2  1
1006.947000	Does Not	Exist	2189.710000	2  1		1182.763000	5  1
1007.228000	Does Not	Exist	2283.000000	5  1		1275.772000	1  -1
1007.273000	Does Not	Exist	2537.400000	1  0		1530.127000	6  -1
1007.185000	Does Not	Exist	2641.600000	1  0		1634.415000	5  1
1007.440000	Does Not	Exist	2815.000000	1  0		1807.560000	8  -1
1006.740000	Does Not	Exist	2989.200000	1  0		1982.460000	2  1
1006.800000	Does Not	Exist	3085.800000	1  0		2079.000000	6  1
Possible line matches for the gamma energy 1010.08 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1010.108000	Does Not	Exist	1275.772000	1  -1		265.664000	4  1
1009.707000	Does Not	Exist	2584.000000	1  0		1574.293000	4  1
1009.804000	Does Not	Exist	2647.000000	1  0		1637.196000	1  -1
1010.080000	Does Not	Exist	2648.000000	1  0		1637.920000	7  -1
1010.095000	Does Not	Exist	2680.600000	1  0		1670.505000	8  1
1009.689000	Does Not	Exist	2861.500000	1  0		1851.811000	4  -1
1010.350000	Does Not	Exist	2950.000000	1  0		1939.650000	9  -1
Possible line matches for the gamma energy 1311.84 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1311.637000	Does Not	Exist	2494.400000	0  1		1182.763000	5  1
1312.310000	Does Not	Exist	2802.700000	0  1		1490.390000	7  1
1312.080000	Does Not	Exist	2950.000000	1  0		1637.920000	7  -1
1311.982000	Does Not	Exist	3040.300000	1  0		1728.318000	2  1
Possible line matches for the gamma energy 1757.14 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
1757.209000	Does Not	Exist	2818.200000	1  0		1060.991000	4  1
1757.637000	Does Not	Exist	2940.400000	1  0		1182.763000	5  1
Possible line matches for the gamma energy 1773.53 keV
