Possible line matches for the gamma energy 258.158 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
Possible line matches for the gamma energy 2722.42 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
2722.039000	  0.333200	  0.001081	2802.700000	0  1		 80.661000	2  1
Possible line matches for the gamma energy 2736.41 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
2736.339000	Does Not	Exist	2817.000000	2  1		 80.661000	2  1
Possible line matches for the gamma energy 2780.12 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
2779.800000	Does Not	Exist	2779.800000	1  0		  0.000000	0  1
Possible line matches for the gamma energy 2786.09 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
Possible line matches for the gamma energy 2963.82 keV
Energy		Intensity	Conv. Coef.	Start Energy	Start Jp	 End Energy	End Jp
2963.940000	Does Not	Exist	2963.940000	3  -1		  0.000000	0  1
